date,n_points,dt_hours,profit_EUR,full_cycles
2025-12-12,24,1.0,950.9418421052633,2.5032894736842106
2025-12-13,24,1.0,607.3113157894738,2.5032894736842106
2025-12-14,24,1.0,566.2752631578949,2.5032894736842106
2025-12-15,24,1.0,845.3976315789475,2.5032894736842106
2025-12-16,24,1.0,547.4043421052634,2.5032894736842106
2025-12-17,24,1.0,449.47595394736845,1.9775986842105262
2025-12-18,24,1.0,1527.2575065789474,3.4545394736842114
2025-12-19,24,1.0,622.062815789474,2.9538815789473687
2025-12-20,24,1.0,359.4606104570637,2.4545412049861497
2025-12-21,24,1.0,258.9082894736842,1.4769407894736841
2025-12-22,24,1.0,593.4525000000001,2.9789144736842106
2025-12-23,24,1.0,254.64775623268702,2.028981994459834
2025-12-24,24,1.0,958.4986842105266,2.5032894736842106
2025-12-25,24,1.0,647.2530000000002,2.903815789473684
2025-12-26,24,1.0,394.9396973684211,2.4782565789473687
2025-12-27,24,1.0,387.4561357340722,2.028981994459834
2025-12-28,24,1.0,328.0236288088645,2.028981994459834
2025-12-29,24,1.0,367.2555263157899,2.5032894736842106
2025-12-30,24,1.0,423.2469390581721,2.028981994459834
